Age,Income,Height,Pets,Hobby,RandomScore,Buy_House
63,126200,165,Dog,Traveling,61.273928689090006,1
20,58607,194,Dog,Traveling,-105.16116199539658,0
46,47550,198,None,Reading,-23.06637855491433,0
52,71366,162,Dog,Traveling,-61.19752625268158,1
56,121372,153,Cat,Reading,-85.08522580194442,1
35,82584,174,Dog,Traveling,76.739876544531,0
37,130452,153,Cat,Gaming,-166.10727783513093,1
60,76664,150,Cat,Gaming,120.91128769567634,1
40,115879,152,Cat,Reading,-68.7482126803024,1
51,118786,182,None,Gaming,2.165333441882133,0
50,132084,174,None,Gaming,21.160872229452544,0
67,81452,170,Dog,Reading,163.38758133227316,1
65,146676,158,Cat,Traveling,-156.99562293021424,0
27,61776,185,Cat,Reading,151.6341937079295,0
50,137077,182,None,Reading,-5.931878099609106,0
64,92295,180,Dog,Reading,66.56991326470238,1
50,51173,163,Cat,Reading,-13.153111596671833,1
65,69644,171,None,Traveling,-247.1238500702279,1
43,104653,151,Cat,Traveling,76.74452333133452,1
37,68430,157,Cat,Gaming,-0.7058605543410734,0
32,68148,171,None,Gaming,11.462459442596163,1
54,82277,169,Dog,Reading,-38.64577901823794,1
50,101832,163,Cat,Gaming,74.12258934354469,1
34,71882,196,None,Traveling,125.66917607287509,0
22,138553,173,None,Traveling,128.10122133495335,0
67,124196,171,Dog,Reading,9.953585301431863,1
21,67654,179,None,Traveling,221.93766106026277,0
20,52288,195,Dog,Traveling,259.18563526756947,0
38,148807,155,Dog,Reading,195.90145782430645,1
57,22195,162,Dog,Traveling,-200.24811214024805,0
20,103618,174,Dog,Traveling,-41.742973672574415,0
38,34252,155,Dog,Traveling,-114.56531331157984,0
65,109884,150,Dog,Traveling,118.04794983115252,1
66,120653,166,None,Gaming,-110.3808871480517,1
25,106076,197,Dog,Traveling,-193.95609297243251,1
59,25699,159,Cat,Traveling,118.17180337406464,0
53,61651,189,None,Reading,32.30275341405148,1
46,37838,176,Cat,Reading,-76.15113549232365,1
56,114254,196,None,Traveling,-41.06910699447867,1
51,138886,168,None,Reading,-115.34584267044605,1
39,55717,165,Cat,Traveling,113.52447396912272,1
48,89116,160,None,Gaming,-52.244973113335,0
45,146261,158,None,Traveling,-45.54038351243753,1
52,138959,179,Dog,Traveling,-15.1832147444358,1
51,149514,162,None,Reading,-73.28702787828847,1
30,76257,172,Dog,Gaming,59.02055043096559,1
58,89835,152,Dog,Traveling,123.85260451735095,0
21,30316,188,Dog,Gaming,145.8177372014879,0
60,130038,192,None,Gaming,-40.49310802553282,0
23,127574,199,None,Traveling,-69.65103760517101,0
18,48056,154,Dog,Reading,6.464880067464618,0
29,128836,163,None,Traveling,123.29135053605489,1
52,62628,157,None,Traveling,-75.22031992095735,0
28,95738,182,Dog,Gaming,164.4848797096089,0
40,93065,182,None,Reading,-117.78118231719061,1
31,141093,181,None,Traveling,102.46065997327945,1
36,126227,185,Cat,Traveling,-59.2792339752225,0
54,141711,170,Cat,Reading,-76.69715061664091,0
33,74527,189,None,Traveling,50.68359971616081,1
61,52727,160,None,Gaming,-15.65613299381184,1
45,57168,191,Dog,Reading,-50.48006052442434,1
62,42042,173,None,Reading,75.76747893528204,0
48,78162,181,Dog,Traveling,82.33980368471377,1
24,28670,180,None,Reading,1.6613266200653183,0
63,110285,155,Cat,Traveling,17.252446503226302,1
69,101109,175,Cat,Gaming,184.557184865435,1
44,41031,179,Cat,Traveling,132.49900440222189,0
34,124722,188,Dog,Reading,66.3485480102396,0
24,69191,192,Cat,Reading,-105.65823999540991,0
32,33890,157,None,Traveling,-127.34889144461911,1
57,83874,189,Dog,Reading,73.08303019922619,1
29,132269,188,Dog,Gaming,37.89316952232639,0
25,41973,195,Cat,Gaming,80.26312306196314,1
19,85854,170,None,Traveling,0.23798874971810952,0
61,87333,167,None,Reading,-143.7235124033408,0
55,121590,155,None,Traveling,-57.77304650969668,1
43,65285,191,Dog,Reading,69.68935086452012,1
68,149378,192,Dog,Traveling,26.88285806552637,1
38,86361,186,Cat,Reading,-71.86443444393016,1
67,109417,183,None,Traveling,-114.18079048970888,1
30,21832,156,None,Gaming,81.14781222000514,0
36,41010,170,Dog,Traveling,-26.81751268386027,1
35,98291,155,Cat,Reading,-38.25360932308621,1
19,145114,189,Cat,Traveling,141.54598341596412,0
69,68040,155,Dog,Reading,27.72497640795997,1
62,114189,198,Dog,Traveling,173.89511778583662,0
59,140888,190,Cat,Reading,-25.848373385156776,0
66,47512,171,None,Traveling,-65.3124372821834,1
45,25038,187,Dog,Reading,-33.85424393223616,0
67,141344,156,Dog,Gaming,77.41625907390878,1
40,35709,176,None,Traveling,29.69967013734974,0
21,143459,176,None,Traveling,-101.47897700580562,1
21,115414,175,None,Gaming,-62.8044643669551,0
29,32844,155,Dog,Traveling,-70.30344429422716,0
39,74889,181,None,Gaming,-44.22519931966843,1
43,119424,155,Dog,Gaming,-37.84443684739675,0
57,127751,172,Cat,Traveling,-22.306650183202443,1
59,135075,152,None,Reading,-103.56959751044228,0
52,69865,174,Cat,Gaming,-142.56745533661805,1
21,146168,194,Cat,Gaming,36.37542444071255,0
29,107358,184,Dog,Traveling,116.58209925976657,1
21,26694,191,Cat,Gaming,3.2896879247703974,0
69,49141,165,None,Gaming,104.05848769047013,0
48,28026,181,Dog,Traveling,-86.40563113662407,0
24,110973,181,None,Traveling,-4.38175415704877,0
27,89400,196,None,Traveling,90.88031198693257,1
41,40926,164,None,Reading,-160.64117159225336,0
32,73757,176,Dog,Gaming,-45.43721914097223,1
56,140970,177,Cat,Gaming,87.30976837849053,1
37,76888,192,None,Reading,-146.25109265654103,0
24,108457,181,Cat,Traveling,-129.02753290487345,0
30,133310,166,Cat,Gaming,-93.83984631316424,0
45,136020,188,Cat,Gaming,77.38457323518517,0
56,87447,196,Dog,Traveling,-66.0629409215322,1
35,119539,194,Dog,Reading,115.1305830148299,0
64,56994,175,None,Traveling,106.73206907984184,1
28,86100,176,None,Gaming,154.00525457143996,1
53,34675,154,Cat,Traveling,123.86633949055634,0
53,84199,178,Dog,Gaming,-62.41995096870438,1
19,42439,159,None,Reading,-209.28825748757393,0
65,141058,170,Dog,Traveling,-43.166194697358165,1
63,127939,188,Dog,Traveling,-15.100585297143484,1
34,53223,177,None,Gaming,-42.69432640664332,1
23,48634,187,Dog,Reading,-69.58567943155481,0
58,30463,153,None,Traveling,132.90758267100537,1
63,148773,169,Dog,Gaming,25.4681974355034,0
40,78363,152,Cat,Traveling,75.36550768768498,1
64,135424,167,None,Traveling,33.173879856175915,1
33,61575,174,Dog,Gaming,96.45209266214869,1
58,33059,160,Cat,Reading,-72.40295941318114,0
43,49265,175,Cat,Gaming,175.9628674743996,1
63,102270,175,Cat,Reading,2.282585651701345,1
67,99144,165,Dog,Gaming,105.50608437392299,1
18,64402,153,Cat,Traveling,24.61017903852146,0
53,60981,163,None,Traveling,-76.60297380745023,1
47,95452,157,Dog,Gaming,-70.69612530018703,1
19,113861,182,Cat,Gaming,-64.88617950278989,0
37,50051,153,Dog,Traveling,-116.71365589894809,1
22,141031,166,Dog,Reading,63.64624958545995,0
48,125334,162,Cat,Traveling,7.347227543568136,0
25,47509,170,None,Reading,-60.97917056769403,0
47,51598,198,Cat,Reading,86.92996960426503,1
56,74900,150,Dog,Gaming,-133.14508879043476,1
19,87328,177,None,Gaming,17.58168574450375,0
30,76899,178,None,Traveling,-46.52703545481954,0
21,115264,172,Dog,Reading,129.81537071191963,0
62,131945,179,None,Gaming,90.2371899242747,0
69,84699,158,Cat,Gaming,22.043502563830668,0
25,121725,156,Dog,Gaming,158.90452675915446,1
56,23391,173,Cat,Traveling,154.70064244826747,1
42,120293,167,Cat,Traveling,100.57371546534306,1
24,53484,177,Cat,Reading,308.51665360354576,0
31,125642,177,Cat,Reading,37.00931161117482,1
