Weather,Activity
Rainy,Read book
Rainy,Read book
Sunny,Picnic
Sunny,Picnic
Sunny,Picnic
Sunny,Grab a drink
Sunny,Run errands
Rainy,Stay home
Sunny,Picnic
Sunny,Run errands
Rainy,Stay home
Rainy,Watch movie
Sunny,Grab a drink
Rainy,Watch movie
Sunny,Run errands
Sunny,Run errands
Rainy,Read book
Sunny,Picnic
Sunny,Picnic
Rainy,Stay home
Rainy,Stay home
Sunny,Picnic
Rainy,Read book
Rainy,Read book
Rainy,Stay home
Rainy,Read book
Rainy,Watch movie
Rainy,Stay home
Sunny,Picnic
Sunny,Grab a drink
Rainy,Watch movie
Rainy,Watch movie
Rainy,Watch movie
Sunny,Grab a drink
Sunny,Run errands
Rainy,Read book
Sunny,Grab a drink
Rainy,Watch movie
Rainy,Read book
Sunny,Run errands
Sunny,Run errands
Sunny,Run errands
Sunny,Picnic
Rainy,Watch movie
Rainy,Read book
Rainy,Read book
Sunny,Run errands
Sunny,Run errands
Rainy,Stay home
Sunny,Picnic
Sunny,Grab a drink
Sunny,Run errands
Rainy,Read book
Rainy,Stay home
Sunny,Picnic
Sunny,Picnic
Sunny,Picnic
Sunny,Run errands
Sunny,Picnic
Sunny,Grab a drink
Rainy,Read book
Rainy,Watch movie
Sunny,Run errands
Sunny,Grab a drink
Rainy,Read book
Sunny,Grab a drink
Sunny,Run errands
Sunny,Run errands
Rainy,Stay home
Rainy,Read book
Rainy,Read book
Sunny,Run errands
Sunny,Grab a drink
Rainy,Watch movie
Sunny,Picnic
Rainy,Watch movie
Sunny,Grab a drink
Sunny,Grab a drink
Sunny,Picnic
Sunny,Run errands
Sunny,Picnic
Rainy,Stay home
Rainy,Watch movie
Rainy,Watch movie
Sunny,Grab a drink
Sunny,Run errands
Rainy,Stay home
Rainy,Stay home
Sunny,Grab a drink
Rainy,Read book
Rainy,Read book
Sunny,Grab a drink
Rainy,Read book
Sunny,Run errands
Sunny,Picnic
Sunny,Grab a drink
Rainy,Read book
Rainy,Read book
Sunny,Grab a drink
Sunny,Picnic
Rainy,Read book
Rainy,Watch movie
Sunny,Run errands
Rainy,Watch movie
Sunny,Run errands
Rainy,Read book
Sunny,Grab a drink
Rainy,Stay home
Rainy,Stay home
Rainy,Stay home
Sunny,Run errands
Sunny,Run errands
Rainy,Read book
Sunny,Picnic
Rainy,Watch movie
Rainy,Stay home
Sunny,Run errands
Sunny,Grab a drink
Rainy,Watch movie
Rainy,Stay home
Sunny,Run errands
Sunny,Picnic
Sunny,Grab a drink
Sunny,Grab a drink
Sunny,Grab a drink
Rainy,Read book
Rainy,Stay home
Sunny,Picnic
Rainy,Stay home
Sunny,Grab a drink
Rainy,Stay home
Rainy,Stay home
Rainy,Stay home
Sunny,Picnic
Rainy,Stay home
Sunny,Picnic
