Purchasing behaviour,Gender,Age,Time spent in online shop
Buy now,female,22,40
Buy now,female,25,23
Buy now,male,18,12
Buy now,male,45,28
Buy now,female,12,43
Buy now,male,43,23
Buy now,male,23,55
Buy now,male,33,34
Buy later,female,27,28
Buy later,female,27,15
Buy later,male,48,110
Buy later,male,34,28
Buy later,male,32,11
Buy later,male,66,32
Buy later,male,24,23
Buy later,female,34,44
Don't buy anything,female,27,55
Don't buy anything,female,34,65
Don't buy anything,male,55,56
Don't buy anything,male,65,80
Don't buy anything,male,44,66
Don't buy anything,female,88,44
Don't buy anything,female,33,65
Don't buy anything,female,43,34
Buy now,male,55,92
Buy now,female,23,20
Buy now,female,75,98
Buy now,male,64,56
Don't buy anything,male,67,38
Buy later,female,37,81
Buy later,female,15,62
Buy now,male,33,44
Don't buy anything,female,15,39
Don't buy anything,female,77,100
Buy later,female,74,69
Buy now,female,51,29
Don't buy anything,male,12,98
Don't buy anything,female,12,45
Buy now,female,28,108
Buy now,female,18,31
Buy later,male,16,54
Don't buy anything,female,77,117
Don't buy anything,female,54,119
Buy later,female,26,66
Buy later,female,19,9
Don't buy anything,male,50,18
Buy later,female,88,65
Don't buy anything,female,18,64
Don't buy anything,female,51,71
Buy now,male,65,7
Buy later,female,45,14
Buy later,male,63,106
Don't buy anything,female,40,60
Buy now,male,32,93
Buy later,female,86,75
Buy later,male,21,115
Buy now,female,58,104
Don't buy anything,female,12,87
Don't buy anything,female,26,46
Buy later,male,82,51
Buy now,male,90,119
Buy later,female,66,5
Don't buy anything,male,69,84
Buy now,male,16,118
Buy now,female,88,18
Buy later,female,51,18
Don't buy anything,male,15,101
Don't buy anything,male,82,67
Buy later,male,70,112
Buy later,female,62,76
Don't buy anything,male,35,36
Don't buy anything,male,90,36
Don't buy anything,male,42,69
Buy now,male,23,78
Buy now,female,24,93
Buy later,female,54,115
Don't buy anything,female,63,36
Buy now,female,50,33
Buy later,male,42,45
Don't buy anything,male,62,94
Buy now,female,46,95
Buy later,female,27,107
Don't buy anything,female,39,51
Don't buy anything,male,75,37
Buy later,female,48,16
Buy later,female,48,64
Don't buy anything,male,37,10
Buy now,male,77,13
Buy later,female,61,11
Buy now,female,87,11
Buy later,male,54,29
Buy now,female,30,21
Buy now,male,70,60
Don't buy anything,female,55,95
Buy now,male,70,26
Buy later,female,45,103
Buy later,male,58,94
Buy now,female,71,75
Don't buy anything,female,42,50
Buy now,female,55,48
Don't buy anything,male,13,104
Don't buy anything,female,85,82
Don't buy anything,male,46,87
Don't buy anything,male,74,86
Buy now,female,42,21
Don't buy anything,female,21,77
Don't buy anything,male,37,57
Don't buy anything,female,52,103
Buy later,male,13,116
Buy now,female,58,81
Don't buy anything,male,63,86
Buy now,female,77,56
Buy now,female,74,11
Don't buy anything,male,61,84
Don't buy anything,male,59,74
Buy later,female,13,80
Buy now,male,80,18
Don't buy anything,male,83,62
Buy now,male,24,66
Don't buy anything,male,87,101
Buy later,female,36,72
Buy now,female,61,25
Buy later,male,44,58
Don't buy anything,male,69,14
Don't buy anything,female,44,32
Don't buy anything,male,50,94
Don't buy anything,female,14,52
Don't buy anything,female,32,102
Buy now,female,76,30
Buy now,male,61,83
Buy later,female,13,112
Don't buy anything,male,36,70
Buy later,female,57,49
Don't buy anything,female,12,41
Buy later,female,29,57
Don't buy anything,female,14,16
Buy now,female,25,88
Don't buy anything,male,66,12
Buy now,male,27,54
Don't buy anything,male,67,116
Don't buy anything,female,76,37
Buy now,female,23,25
Buy later,female,12,75
Don't buy anything,female,85,28
Don't buy anything,female,58,29
Buy now,male,84,12
Don't buy anything,male,27,102
Don't buy anything,female,31,37
Don't buy anything,female,35,55
Don't buy anything,male,73,39
Don't buy anything,male,13,107
Buy now,female,67,34
Don't buy anything,female,26,114
Buy now,female,51,52
Don't buy anything,male,76,78
Don't buy anything,female,55,92
Buy later,female,85,57
Buy later,male,62,15
Buy now,female,65,42
Buy later,female,60,45
Buy later,male,57,23
Buy later,female,26,39
Buy now,female,33,23
Buy now,male,32,7
Don't buy anything,male,82,40
Buy now,female,15,58
Buy later,male,49,74
Buy now,male,19,46
Buy later,female,60,30
Don't buy anything,female,47,111
Buy now,female,73,10
Don't buy anything,female,20,91
Don't buy anything,male,53,44
Buy now,male,47,29
Buy now,female,78,102
Don't buy anything,female,56,7
Don't buy anything,male,39,17
Don't buy anything,female,79,115
Buy later,male,14,118
Buy later,female,73,71
Buy now,female,17,5
Buy later,male,29,58
Buy later,female,71,106
Buy later,female,82,69
Buy later,female,27,120
Buy now,male,65,45
Buy now,male,13,35
Buy later,female,86,52
Buy now,male,62,73
Don't buy anything,male,67,108
Buy now,male,83,64
Don't buy anything,female,22,94
Buy now,female,59,105
Buy later,male,47,50
Buy now,male,58,19
Don't buy anything,male,72,45
Buy now,male,40,80
Don't buy anything,female,44,61
Buy later,male,32,85
Buy now,female,69,51
Buy now,male,57,116
Buy later,female,46,45
Buy now,female,89,27
Buy now,male,22,22
Don't buy anything,female,23,14
Don't buy anything,female,83,108
Buy later,male,51,75
Buy now,male,36,53
Don't buy anything,male,27,93
Buy now,female,71,42
Buy later,female,17,82
Buy now,female,54,32
Buy now,male,47,23
Don't buy anything,male,35,51
Buy later,male,73,33
Don't buy anything,male,17,18
Buy later,male,35,74
Buy later,female,26,20
Buy later,female,58,116
Buy now,female,89,100
Buy now,female,13,26
Don't buy anything,female,59,24
Buy later,female,68,20
Don't buy anything,female,55,42
Buy later,female,37,13
Don't buy anything,male,47,77
Buy later,female,64,70
Don't buy anything,male,87,66
Buy now,male,85,100
Buy later,female,50,27
Buy now,female,56,38
Don't buy anything,male,38,116
Don't buy anything,female,51,11
Don't buy anything,female,52,38
Buy now,female,32,30
Don't buy anything,male,55,51
Don't buy anything,female,38,56
Buy now,male,64,73
Buy later,female,25,62
Buy later,male,70,13
Buy now,female,76,8
Don't buy anything,female,43,80
Buy later,male,50,46
Don't buy anything,female,51,41
Don't buy anything,male,22,62
Don't buy anything,female,59,38
Don't buy anything,male,61,113
Buy now,male,73,59
Don't buy anything,female,64,110
Buy later,female,40,41
Don't buy anything,male,24,101
Buy later,female,85,76
Buy later,female,74,89
Buy later,female,20,108
Buy later,male,26,54
Buy later,female,66,20
Don't buy anything,male,62,90
Don't buy anything,male,70,83
Buy later,female,67,100
Don't buy anything,male,78,32
Buy now,female,37,68
Buy now,female,17,10
Buy later,female,30,76
Buy now,female,55,104
Buy now,male,42,28
Don't buy anything,female,69,83
Buy later,male,74,80
Don't buy anything,male,33,99
Buy now,male,14,25
Buy later,male,68,17
Don't buy anything,female,31,15
Don't buy anything,female,60,80
Buy now,male,59,64
Buy later,female,75,21
Buy later,male,72,60
Buy now,male,54,87
Buy later,female,13,44
Don't buy anything,female,35,83
Buy now,female,82,58
Buy later,male,27,48
Buy later,female,29,45
Buy later,female,49,36
Don't buy anything,male,84,111
Buy now,female,86,39
Buy now,male,88,59
Don't buy anything,female,63,82
Buy now,male,30,27
Buy now,female,54,7
Don't buy anything,female,68,22
Don't buy anything,female,85,31
Buy now,female,23,39
Buy now,male,19,7
Buy now,female,51,34
Don't buy anything,female,23,45
Don't buy anything,female,22,8
Buy later,female,81,28
Don't buy anything,female,80,103
Buy later,male,36,5
Don't buy anything,male,48,76
Buy now,male,68,13
